account_id,county,gross_acres,exclusion_reason
0713041849,Carroll,61.9,largest_reachable_block_below_acreage_min_even_with_crossings
0714012338,Carroll,71.39,largest_reachable_block_below_acreage_min_even_with_crossings
0705041279,Carroll,60.79,largest_reachable_block_below_acreage_min_even_with_crossings
0714053565,Carroll,366.51,owner_type_government
0714015043,Carroll,94.06,largest_reachable_block_below_acreage_min_even_with_crossings
0714003150,Carroll,49.74,largest_reachable_block_below_acreage_min_even_with_crossings
0714056726,Carroll,65.56,largest_reachable_block_below_acreage_min_even_with_crossings
0714002839,Carroll,61.56,owner_type_government
0714002588,Carroll,91.51,largest_reachable_block_below_acreage_min_even_with_crossings
0714002626,Carroll,210.46,owner_type_government
0714002634,Carroll,76.53,largest_reachable_block_below_acreage_min_even_with_crossings
0705002141,Carroll,56.03,largest_reachable_block_below_acreage_min_even_with_crossings
0714037233,Carroll,50.84,largest_reachable_block_below_acreage_min_even_with_crossings
0714002758,Carroll,47.21,largest_reachable_block_below_acreage_min_even_with_crossings
0714014004,Carroll,54.8,largest_reachable_block_below_acreage_min_even_with_crossings
0713005362,Carroll,65.01,largest_reachable_block_below_acreage_min_even_with_crossings
0713005621,Carroll,54.4,largest_reachable_block_below_acreage_min_even_with_crossings
0709008160,Carroll,87.2,largest_reachable_block_below_acreage_min_even_with_crossings
0709003096,Carroll,115.23,largest_reachable_block_below_acreage_min_even_with_crossings
0709005986,Carroll,47.63,largest_reachable_block_below_acreage_min_even_with_crossings
0709001212,Carroll,44.59,largest_reachable_block_below_acreage_min_even_with_crossings
0713003971,Carroll,41.76,largest_reachable_block_below_acreage_min_even_with_crossings
0709002073,Carroll,50.54,largest_reachable_block_below_acreage_min_even_with_crossings
0709004033,Carroll,63.78,largest_reachable_block_below_acreage_min_even_with_crossings
0709009248,Carroll,61.02,largest_reachable_block_below_acreage_min_even_with_crossings
0709027726,Carroll,49.5,largest_reachable_block_below_acreage_min_even_with_crossings
0709008322,Carroll,44.03,largest_reachable_block_below_acreage_min_even_with_crossings
0709001689,Carroll,57.64,largest_reachable_block_below_acreage_min_even_with_crossings
0714001727,Carroll,343.96,owner_type_government
0714002790,Carroll,74.14,largest_reachable_block_below_acreage_min_even_with_crossings
0714001719,Carroll,199.66,largest_reachable_block_below_acreage_min_even_with_crossings
0714039120,Carroll,48.06,largest_reachable_block_below_acreage_min_even_with_crossings
0711004474,Carroll,60.61,largest_reachable_block_below_acreage_min_even_with_crossings
0711001270,Carroll,105.69,mprp_tier_1_intersects_studied_route
0711001327,Carroll,73.34,mprp_tier_1_intersects_studied_route
0711002978,Carroll,44.77,largest_reachable_block_below_acreage_min_even_with_crossings
0713002541,Carroll,46.01,largest_reachable_block_below_acreage_min_even_with_crossings
0713041822,Carroll,153.99,owner_type_government
0713001839,Carroll,115.64,largest_reachable_block_below_acreage_min_even_with_crossings
0714008462,Carroll,51.71,largest_reachable_block_below_acreage_min_even_with_crossings
0713001820,Carroll,67.3,largest_reachable_block_below_acreage_min_even_with_crossings
0713019290,Carroll,53.22,largest_reachable_block_below_acreage_min_even_with_crossings
0713019185,Carroll,40.81,largest_reachable_block_below_acreage_min_even_with_crossings
0714048553,Carroll,54.42,largest_reachable_block_below_acreage_min_even_with_crossings
0714014039,Carroll,46.1,largest_reachable_block_below_acreage_min_even_with_crossings
0714043284,Carroll,48.74,largest_reachable_block_below_acreage_min_even_with_crossings
0713028362,Carroll,50.72,largest_reachable_block_below_acreage_min_even_with_crossings
0714010181,Carroll,40.0,largest_reachable_block_below_acreage_min_even_with_crossings
0709001654,Carroll,72.25,largest_reachable_block_below_acreage_min_even_with_crossings
0714035559,Carroll,65.1,largest_reachable_block_below_acreage_min_even_with_crossings
0714015515,Carroll,45.73,largest_reachable_block_below_acreage_min_even_with_crossings
0714011358,Carroll,75.87,largest_reachable_block_below_acreage_min_even_with_crossings
0714048731,Carroll,77.96,largest_reachable_block_below_acreage_min_even_with_crossings
0714010637,Carroll,40.37,largest_reachable_block_below_acreage_min_even_with_crossings
0714017747,Carroll,40.71,largest_reachable_block_below_acreage_min_even_with_crossings
0714015450,Carroll,69.29,largest_reachable_block_below_acreage_min_even_with_crossings
0709031448,Carroll,47.5,largest_reachable_block_below_acreage_min_even_with_crossings
0714001379,Carroll,41.0,largest_reachable_block_below_acreage_min_even_with_crossings
0714008810,Carroll,93.01,largest_reachable_block_below_acreage_min_even_with_crossings
0714057382,Carroll,86.34,largest_reachable_block_below_acreage_min_even_with_crossings
0714017496,Carroll,45.18,largest_reachable_block_below_acreage_min_even_with_crossings
0714001522,Carroll,61.25,largest_reachable_block_below_acreage_min_even_with_crossings
0714046755,Carroll,84.07,largest_reachable_block_below_acreage_min_even_with_crossings
0714051104,Carroll,67.95,owner_type_government
0714030190,Carroll,55.57,largest_reachable_block_below_acreage_min_even_with_crossings
0714012133,Carroll,46.06,largest_reachable_block_below_acreage_min_even_with_crossings
0714012729,Carroll,106.96,largest_reachable_block_below_acreage_min_even_with_crossings
0714009779,Carroll,51.44,largest_reachable_block_below_acreage_min_even_with_crossings
0714053573,Carroll,54.08,largest_reachable_block_below_acreage_min_even_with_crossings
0714010882,Carroll,57.92,largest_reachable_block_below_acreage_min_even_with_crossings
0714014853,Carroll,43.25,largest_reachable_block_below_acreage_min_even_with_crossings
0714430762,Carroll,90.25,largest_reachable_block_below_acreage_min_even_with_crossings
0714017798,Carroll,119.86,largest_reachable_block_below_acreage_min_even_with_crossings
0714004149,Carroll,54.64,largest_reachable_block_below_acreage_min_even_with_crossings
0714002723,Carroll,65.93,largest_reachable_block_below_acreage_min_even_with_crossings
0714045538,Carroll,43.72,largest_reachable_block_below_acreage_min_even_with_crossings
0709000429,Carroll,43.13,largest_reachable_block_below_acreage_min_even_with_crossings
0709020268,Carroll,71.21,largest_reachable_block_below_acreage_min_even_with_crossings
0709024565,Carroll,44.33,largest_reachable_block_below_acreage_min_even_with_crossings
0709020195,Carroll,44.39,largest_reachable_block_below_acreage_min_even_with_crossings
0709001727,Carroll,60.1,largest_reachable_block_below_acreage_min_even_with_crossings
0714002359,Carroll,69.43,largest_reachable_block_below_acreage_min_even_with_crossings
0709004491,Carroll,199.99,largest_reachable_block_below_acreage_min_even_with_crossings
0714013075,Carroll,52.08,largest_reachable_block_below_acreage_min_even_with_crossings
0714001441,Carroll,71.12,largest_reachable_block_below_acreage_min_even_with_crossings
0709024522,Carroll,50.13,largest_reachable_block_below_acreage_min_even_with_crossings
0709000356,Carroll,77.29,largest_reachable_block_below_acreage_min_even_with_crossings
0714010343,Carroll,137.93,owner_type_government
0714003681,Carroll,144.87,owner_type_government
0713008795,Carroll,99.62,largest_reachable_block_below_acreage_min_even_with_crossings
0713024162,Carroll,148.08,largest_reachable_block_below_acreage_min_even_with_crossings
0713008035,Carroll,46.29,largest_reachable_block_below_acreage_min_even_with_crossings
0713001847,Carroll,124.86,largest_reachable_block_below_acreage_min_even_with_crossings
0714039058,Carroll,129.59,largest_reachable_block_below_acreage_min_even_with_crossings
0713001855,Carroll,68.72,largest_reachable_block_below_acreage_min_even_with_crossings
0713006229,Carroll,55.49,largest_reachable_block_below_acreage_min_even_with_crossings
0713003505,Carroll,70.19,largest_reachable_block_below_acreage_min_even_with_crossings
0713005788,Carroll,75.93,largest_reachable_block_below_acreage_min_even_with_crossings
0714037519,Carroll,57.48,largest_reachable_block_below_acreage_min_even_with_crossings
0714008616,Carroll,47.56,largest_reachable_block_below_acreage_min_even_with_crossings
0714008527,Carroll,55.66,largest_reachable_block_below_acreage_min_even_with_crossings
0714006419,Carroll,75.36,largest_reachable_block_below_acreage_min_even_with_crossings
0714005412,Carroll,40.77,largest_reachable_block_below_acreage_min_even_with_crossings
0713023565,Carroll,52.61,largest_reachable_block_below_acreage_min_even_with_crossings
0711004466,Carroll,164.71,mprp_tier_1_intersects_studied_route
0711000053,Carroll,45.32,largest_reachable_block_below_acreage_min_even_with_crossings
0710001226,Carroll,96.11,largest_reachable_block_below_acreage_min_even_with_crossings
0710002370,Carroll,164.04,largest_reachable_block_below_acreage_min_even_with_crossings
0701000764,Carroll,162.42,largest_reachable_block_below_acreage_min_even_with_crossings
0710004527,Carroll,168.77,largest_reachable_block_below_acreage_min_even_with_crossings
0710000688,Carroll,56.64,largest_reachable_block_below_acreage_min_even_with_crossings
0710001064,Carroll,54.04,largest_reachable_block_below_acreage_min_even_with_crossings
0710007038,Carroll,47.85,largest_reachable_block_below_acreage_min_even_with_crossings
0712001533,Carroll,117.82,largest_reachable_block_below_acreage_min_even_with_crossings
0712001622,Carroll,98.82,largest_reachable_block_below_acreage_min_even_with_crossings
1101001477,Frederick,191.02,owner_type_government
1101001787,Frederick,221.29,mprp_tier_1_intersects_studied_route
1101002449,Frederick,86.35,largest_reachable_block_below_acreage_min_even_with_crossings
1101002813,Frederick,157.16,mprp_tier_1_intersects_studied_route
1101004301,Frederick,49.65,largest_reachable_block_below_acreage_min_even_with_crossings
1101004417,Frederick,97.72,largest_reachable_block_below_acreage_min_even_with_crossings
1101004425,Frederick,58.28,largest_reachable_block_below_acreage_min_even_with_crossings
1101004506,Frederick,125.36,mprp_tier_1_intersects_studied_route
1101004883,Frederick,198.45,largest_reachable_block_below_acreage_min_even_with_crossings
1101004891,Frederick,377.52,owner_type_government
1101005154,Frederick,140.88,mprp_tier_1_intersects_studied_route
1101006398,Frederick,81.12,mprp_tier_1_intersects_studied_route
1101009397,Frederick,46.47,largest_reachable_block_below_acreage_min_even_with_crossings
1101011138,Frederick,257.05,mprp_tier_1_intersects_studied_route
1101011472,Frederick,78.89,mprp_tier_1_intersects_studied_route
